0,1,2,3,4,5,6,7,8,9,10
21163,1,4,1,11,8,29,11,0,15.64925288133811,5.334073499672997
21165,0,0,1,0,0,2,4,2,1.5903671782215896,1.5279168533493908
21167,2,3,1,7,3,9,6,5,6.41868077833235,6.219382944624944
21169,0,1,1,2,1,1,5,3,0.292279775743439,0.28942826573618596
21171,5,1,1,0,4,1,5,19,1.8511052463751159,1.8330456829958464
21173,3,1,6,12,14,18,10,11,14.975094783595633,13.187926600536931
21175,1,2,1,2,3,2,6,3,4.749230801729121,5.528357558321645
21177,3,10,15,25,26,13,29,22,26.528747345576665,24.7620017629462
21179,20,8,6,22,13,23,16,8,16.745279368749067,16.6870763423167
21181,0,7,5,1,4,5,1,6,6.289048785865155,7.969505610741947
21183,7,23,14,8,12,28,5,23,21.384063431034882,19.222912761028713
21185,1,4,3,2,3,3,7,20,16.607117775392094,-6.011574886299662
21187,1,1,0,4,16,5,2,5,8.373685423676008,9.556041504241737
21189,3,0,0,0,0,0,8,6,3.400385810837079,4.212927143617309
21191,1,1,0,1,4,4,5,8,7.7369973367465255,6.692690709503361
21193,16,51,50,40,43,73,90,83,101.21891086718685,112.60682836636549
21195,21,34,22,48,59,40,78,59,75.64255320504991,91.37133733637825
21197,5,10,7,20,21,10,13,6,16.658984172069715,17.54752320815016
21199,14,36,50,11,19,33,35,106,67.48654604016868,85.35215622685533
21201,0,0,0,0,1,2,2,0,1.1901606292096496,1.4957901368899036
21203,8,17,22,8,6,17,24,20,22.058997052117242,34.29143337533802
21205,2,3,6,9,9,24,18,17,8.499140392150021,8.237417564770666
21207,4,11,6,3,17,21,6,16,4.17690533968548,4.79698851777772
21209,1,6,1,8,18,24,8,10,17.619990438067646,21.866201658009874
21211,4,4,4,4,1,1,8,10,10.447777589247034,9.629419512122073
21213,1,6,4,3,6,9,5,6,7.95333852078975,9.91802095383595
21215,0,0,1,0,3,4,1,1,2.107016250719773,8.636170768407275
21217,1,3,13,4,8,11,9,15,15.425558033385899,16.65707950557059
21219,0,1,0,2,1,0,2,0,0.9260011777354711,0.8879233776451897
21221,2,2,2,3,2,2,0,1,1.8335310923720072,1.5981210283086666
21223,0,1,3,7,14,8,1,5,6.97235976576711,9.709860910852344
21225,0,1,3,0,2,3,2,0,2.058767273888575,2.2756184939896515
21227,11,12,16,1,12,21,28,19,22.017860474937052,29.304922797269988
21229,0,2,2,1,1,1,6,11,7.076308974965777,6.7266761689986065
21231,30,19,16,15,0,17,26,27,27.767077288451475,40.49057033577882
21233,0,3,0,9,6,4,10,8,8.931221896282516,8.665871546694019
21235,6,6,10,30,55,90,38,89,71.48176975456302,64.73657669872404
21237,1,0,2,0,3,6,5,4,4.59746782086691,5.77861649534662
21239,9,6,2,2,6,17,2,15,11.999089475277161,15.528921730585322
