0,1,2,3,4,5,6,7,8,9,10
39083,1,1,2,7,4,1,4,2,4.738955197160037,3.572791718176414
39085,14,14,25,41,24,43,64,66,72.57740608345337,73.2922217835689
39087,2,0,1,7,11,5,16,4,9.20527959560967,6.169131688883254
39089,5,11,13,11,28,26,27,32,19.988918313822897,20.118405098340045
39091,1,3,0,3,4,4,2,8,6.161701151244378,5.080441631813031
39093,3,0,0,3,4,19,21,23,19.341046814814643,12.998673790006947
39095,17,9,13,21,18,31,20,24,32.4579055318776,32.48324200891595
39097,2,9,4,5,20,4,6,5,11.212650592772311,10.292329068435127
39099,36,29,23,30,46,55,54,48,64.59313777152052,60.06177900644698
39101,6,6,2,5,10,21,11,9,11.89416907453187,11.181700773417392
39103,21,9,9,18,6,5,19,12,18.10648299358677,20.614483951910064
39105,0,0,2,4,6,4,1,2,3.835198657948146,3.805884002183451
39107,0,0,2,6,4,6,4,0,3.68463066610706,3.4797600766341694
39109,2,1,6,10,12,12,12,17,16.79779943436938,17.65756458130371
39111,0,0,0,2,6,6,11,19,13.389263339695693,13.413736578326544
39113,22,30,24,66,73,61,123,102,111.36598052206108,129.4327752170863
39115,0,0,1,0,0,2,0,0,0.5416435187355118,0.561243096387125
39117,1,3,1,2,5,9,9,4,7.7253822698183505,9.077605786665288
39119,2,1,5,3,11,11,12,5,10.461091606549894,12.122419593216257
39121,0,2,0,0,0,1,3,0,1.0450568817751082,0.9086088215223013
39123,0,0,2,5,1,2,5,3,3.4363051602922576,3.1567285202376407
39125,0,0,0,0,0,1,0,0,0.09205843223029779,0.0771268355577702
39127,0,7,1,5,12,11,16,6,13.228172048997212,12.345118656156455
39129,12,9,7,17,16,16,11,12,11.707075750322431,11.924254637455896
39131,2,1,1,5,4,5,3,9,7.383125515967475,6.8521696198444735
39133,11,4,6,14,18,42,38,28,21.41086311413957,17.92397809500407
39135,1,0,0,2,0,0,3,7,3.7859304934361164,3.862984831619453
39137,0,0,0,0,0,2,0,1,0.572470504539191,0.5029034289941894
39139,7,4,8,9,24,31,36,18,27.0022308575,27.087908565550492
39141,10,18,12,23,31,27,30,22,33.06753390250198,39.06896207421752
